
iter,llc_rd,llc_wr,mem_rd,mem_wr,decision,token
693,0,0,0,0,R,164200
694,30,15,8,0,H,-12760
695,7,2,1,0,R,83120
696,28,16,7,0,H,-67720
697,7,6,1,0,R,28160
698,30,16,7,0,H,-142680
699,9,1,2,0,-,-72920
700,0,0,0,0,R,99080
701,30,15,8,0,H,-77880
702,7,3,1,0,R,18000
703,30,16,7,0,H,-152840
704,4,2,2,0,-,-33080
705,0,0,0,0,R,138920
706,32,12,8,0,H,-58040
707,7,4,2,0,R,31720
708,29,19,6,0,H,-123000
709,5,2,2,0,-,-13240
710,0,0,0,0,R,158760
711,30,15,8,0,H,-18200
712,8,3,1,0,R,67680
713,29,13,7,0,H,-93160
714,5,1,2,0,R,16600
715,31,14,8,0,H,-170360
716,6,3,0,0,-,-58360
717,0,0,0,0,R,113640
718,30,16,8,0,H,-63320
719,7,3,2,0,R,26440
720,29,18,6,0,H,-128280
721,5,3,1,0,-,-12400
722,0,0,0,0,R,159600
723,28,19,7,0,-,8760
724,37,23,8,0,H,-238200
725,5,2,2,0,-,-128440
726,0,0,0,0,R,43560
727,31,13,8,1,H,-147800
728,6,1,1,1,-,-46320
729,0,0,0,0,R,125680
730,29,13,7,1,H,-39560
731,5,2,2,1,R,65800
732,30,16,7,1,H,-109440
733,11,2,1,0,-,-53560
734,0,0,0,0,R,118440
735,30,14,8,2,H,-67320
736,5,1,2,0,R,42440
737,31,13,8,0,H,-144520
738,7,3,1,0,-,-48640
739,0,0,0,0,R,123360
740,31,14,7,0,H,-57480
741,4,2,1,0,R,68400
742,30,15,8,0,H,-108560
743,6,1,1,0,-,-2680
744,0,0,0,0,R,169320
745,31,14,7,0,H,-11520
746,7,6,1,0,R,84360
747,31,13,7,0,H,-96480
748,6,2,1,0,R,9400
749,30,15,8,0,H,-167560
750,6,2,2,0,-,-67800
751,0,0,0,0,R,104200
752,31,15,7,0,H,-76640
753,9,3,0,0,R,5360
754,31,14,8,0,H,-181600
755,4,1,2,0,-,-61840
756,0,0,0,0,R,110160
757,28,20,6,0,H,-34560
758,4,3,2,0,R,85200
759,30,16,7,0,H,-85640
760,5,3,0,0,R,36360
761,30,15,8,0,H,-140600
762,6,5,2,0,-,-40840
763,0,0,0,0,R,131160
764,31,13,8,0,H,-55800
765,5,2,1,0,R,60080
766,27,19,6,0,H,-74640
767,6,3,1,0,R,31240
768,31,14,8,0,H,-155720
769,4,2,1,0,-,-29840
770,0,0,0,0,R,142160
771,31,14,7,0,H,-38680
772,7,3,1,0,R,57200
773,29,17,8,0,H,-109760
774,4,2,0,0,R,22240
775,29,17,8,0,H,-144720
776,5,4,1,0,-,-28840
777,0,0,0,0,R,143160
778,31,14,7,0,H,-37680
779,4,1,1,0,R,88200
780,32,13,8,0,H,-108760
781,9,4,2,0,-,-39000
782,0,0,0,0,R,133000
783,29,15,6,0,H,-21720
784,4,3,2,0,R,98040
785,29,18,6,0,H,-56680
786,8,4,1,0,R,29200
787,29,18,8,0,H,-137760
788,7,3,1,0,-,-41880
789,0,0,0,0,R,130120
790,28,19,7,0,H,-20720
791,7,4,2,0,R,69040
792,31,15,8,0,H,-117920
793,5,2,0,0,R,4080
794,30,16,8,0,H,-172880
795,7,3,2,0,-,-83120
796,0,0,0,0,R,88880
797,29,18,6,0,H,-65840
798,5,2,1,0,R,50040
799,30,12,7,0,H,-120800
800,6,1,0,0,-,-8800
801,0,0,0,0,R,163200
802,30,16,8,0,H,-13760
803,7,4,2,0,R,76000
804,29,18,6,0,H,-78720
805,6,4,1,0,R,27160
806,29,17,8,0,H,-139800
807,7,1,1,0,-,-43920
808,0,0,0,0,R,128080
809,29,18,7,0,H,-32760
810,6,4,2,0,R,67000
811,31,15,8,0,H,-119960
812,5,1,0,0,R,2040
813,32,12,8,0,H,-194920
814,6,2,2,0,-,-95160
815,0,0,0,0,R,76840
816,31,14,8,0,H,-110120
817,4,2,1,0,R,15760
818,29,14,7,0,H,-145080
819,8,6,2,0,-,-65320
820,0,0,0,0,R,106680
821,29,19,6,0,H,-48040
822,5,2,2,0,R,61720
823,31,13,8,0,H,-125240
824,5,3,1,0,-,-9360
825,0,0,0,0,R,162640
826,30,16,7,0,H,-8200
827,5,3,2,0,R,101560
828,28,19,7,0,H,-49280
829,7,4,0,0,R,52720
830,31,13,8,0,H,-134240
831,4,0,2,0,-,-14480
832,0,0,0,0,R,157520
833,31,14,8,0,H,-29440
834,9,5,1,0,R,46440
835,30,12,7,0,H,-124400
836,6,1,2,0,-,-24640
837,0,0,0,0,R,147360
838,30,17,7,0,H,-23480
839,7,5,0,0,R,78520
840,30,15,8,0,H,-98440
841,5,2,2,0,R,11320
842,30,16,7,0,H,-159520
843,6,4,0,0,-,-47520
844,0,0,0,0,R,124480
845,31,13,8,0,H,-62480
846,4,2,2,0,R,57280
847,30,16,7,0,H,-113560
848,8,4,0,0,-,-21560
849,0,0,0,0,R,150440
850,27,20,8,0,-,3480
851,40,15,9,0,H,-279600
852,8,5,0,0,-,-187600
853,0,0,0,0,-,-15600
854,0,0,0,0,R,156400
855,30,15,8,0,H,-20560
856,6,2,2,0,R,79200
857,30,16,7,0,H,-91640
858,5,1,0,0,R,30360
859,30,16,8,0,H,-146600
860,6,3,2,0,-,-46840
861,0,0,0,0,R,125160
862,29,18,6,0,H,-29560
863,4,4,1,0,R,96320
864,31,14,8,0,H,-90640
865,8,2,2,0,-,-10880
866,0,0,0,0,R,161120
867,31,14,8,0,H,-25840
868,7,5,0,0,R,76160
869,26,19,7,0,H,-54680
870,7,3,0,0,R,47320
871,29,17,8,0,H,-119640
872,5,3,1,0,-,-3760
873,0,0,0,0,R,168240
874,31,15,7,0,H,-12600
875,7,4,1,0,R,83280
876,31,14,8,0,H,-103680
877,6,4,2,0,-,-3920
878,0,0,0,0,R,168080
879,31,15,7,0,H,-12760
880,6,4,0,0,R,99240
881,28,18,8,0,H,-57720
882,5,2,1,0,R,58160
883,30,16,7,0,H,-112680
884,8,4,2,0,-,-32920
885,0,0,0,0,R,139080
886,28,16,7,0,H,-11760
887,4,3,0,0,R,120240
888,29,18,8,0,H,-46720
